"날짜","종가","시가","고가","저가","거래량","변동 %"
"2023- 08- 31","10.690","10.690","10.690","10.670","48.39K","-0.09%"
"2023- 08- 30","10.700","10.680","10.700","10.680","5.03K","0.09%"
"2023- 08- 29","10.690","10.690","10.690","10.680","10.24K","0.00%"
"2023- 08- 28","10.690","10.680","10.690","10.674","42.24K","0.00%"
"2023- 08- 25","10.690","10.690","10.690","10.670","10.22K","0.00%"
"2023- 08- 24","10.690","10.680","10.690","10.670","55.77K","0.19%"
"2023- 08- 23","10.670","10.663","10.679","10.663","13.16K","0.00%"
"2023- 08- 22","10.670","10.660","10.680","10.655","98.31K","0.09%"
"2023- 08- 21","10.660","10.650","10.660","10.635","44.36K","0.09%"
"2023- 08- 18","10.650","10.650","10.660","10.620","139.08K","0.00%"
"2023- 08- 17","10.650","10.650","10.650","10.640","47.25K","0.00%"
"2023- 08- 16","10.650","10.610","10.660","10.610","15.02K","0.00%"
"2023- 08- 15","10.650","10.640","10.655","10.627","58.59K","0.00%"
"2023- 08- 14","10.650","10.650","10.650","10.630","31.93K","0.00%"
"2023- 08- 11","10.650","10.650","10.650","10.635","5.44K","0.00%"
"2023- 08- 10","10.650","10.650","10.650","10.630","19.08K","0.00%"
"2023- 08- 09","10.650","10.630","10.650","10.625","34.28K","0.19%"
"2023- 08- 08","10.630","10.630","10.650","10.620","42.45K","-0.09%"
"2023- 08- 07","10.640","10.650","10.650","10.630","23.34K","0.00%"
"2023- 08- 04","10.640","10.650","10.650","10.630","8.10K","-0.09%"
"2023- 08- 03","10.650","10.630","10.650","10.630","51.70K","0.19%"
"2023- 08- 02","10.630","10.640","10.645","10.620","26.27K","-0.19%"
"2023- 08- 01","10.650","10.650","10.650","10.620","56.14K","0.00%"
"2023- 07- 31","10.650","10.610","10.650","10.600","37.11K","0.28%"
"2023- 07- 28","10.620","10.590","10.620","10.590","230.92K","0.28%"
"2023- 07- 27","10.590","10.580","10.600","10.580","152.72K","0.00%"
"2023- 07- 26","10.590","10.600","10.610","10.590","460.79K","0.00%"
"2023- 07- 25","10.590","10.590","10.610","10.590","1.13M","0.28%"
"2023- 07- 24","10.560","10.560","10.570","10.540","221.47K","0.00%"
"2023- 07- 21","10.560","10.570","10.580","10.540","445.33K","0.00%"
"2023- 07- 20","10.560","10.580","10.580","10.550","173.96K","-0.19%"
"2023- 07- 19","10.580","10.580","10.590","10.560","77.43K","0.09%"
"2023- 07- 18","10.570","10.580","10.600","10.570","89.99K","-0.19%"
"2023- 07- 17","10.590","10.590","10.590","10.570","38.41K","0.00%"
"2023- 07- 14","10.590","10.580","10.590","10.570","88.72K","0.09%"
"2023- 07- 13","10.580","10.580","10.580","10.570","123.49K","0.00%"
"2023- 07- 12","10.580","10.560","10.590","10.560","43.69K","0.00%"
"2023- 07- 11","10.580","10.550","10.590","10.550","139.11K","0.19%"
"2023- 07- 10","10.560","10.560","10.570","10.560","242.43K","-0.09%"
"2023- 07- 07","10.570","10.570","10.570","10.560","5.96K","0.00%"
"2023- 07- 06","10.570","10.570","10.570","10.560","478.41K","0.00%"
"2023- 07- 05","10.570","10.560","10.570","10.556","131.29K","0.09%"
"2023- 07- 03","10.560","10.570","10.570","10.560","65.28K","-0.09%"
"2023- 06- 30","10.570","10.550","10.580","10.540","9.15M","0.28%"
"2023- 06- 29","10.540","10.540","10.550","10.530","1.20M","0.00%"
"2023- 06- 28","10.540","10.550","10.550","10.530","593.21K","-0.09%"
"2023- 06- 27","10.550","10.520","10.550","10.520","1.78M","0.29%"
"2023- 06- 26","10.520","10.510","10.520","10.510","16.05K","0.00%"
"2023- 06- 23","10.520","10.510","10.520","10.510","1.06M","0.10%"
