"날짜","종가","시가","고가","저가","거래량","변동 %"
"2023- 08- 31","8.44","8.75","8.93","8.43","14.70K","-4.31%"
"2023- 08- 30","8.82","8.50","9.15","8.50","26.49K","-0.79%"
"2023- 08- 29","8.89","8.92","9.50","8.51","38.36K","-2.09%"
"2023- 08- 28","9.08","8.63","9.30","8.63","32.59K","5.70%"
"2023- 08- 25","8.59","8.30","9.10","8.30","37.93K","-0.58%"
"2023- 08- 24","8.64","8.88","9.68","8.64","53.12K","-2.92%"
"2023- 08- 23","8.90","8.08","9.00","8.08","104.54K","7.36%"
"2023- 08- 22","8.29","8.87","9.13","8.21","57.39K","-6.96%"
"2023- 08- 21","8.91","9.50","9.74","8.70","118.96K","-10.36%"
"2023- 08- 18","9.94","10.02","10.29","9.79","35.98K","-0.90%"
"2023- 08- 17","10.03","9.82","10.23","9.76","49.93K","0.50%"
"2023- 08- 16","9.98","9.75","10.63","9.68","157.07K","-2.92%"
"2023- 08- 15","10.28","10.72","13.70","9.85","807.38K","-68.70%"
"2023- 08- 14","32.84","36.17","37.37","29.56","428.71K","-12.43%"
"2023- 08- 11","37.50","36.00","38.69","36.00","13.78K","4.17%"
"2023- 08- 10","36.00","38.00","38.30","35.77","26.64K","-4.51%"
"2023- 08- 09","37.70","40.25","40.99","37.11","29.37K","-6.13%"
"2023- 08- 08","40.16","42.30","43.99","37.75","41.19K","-6.06%"
"2023- 08- 07","42.75","41.40","42.88","41.04","10.29K","6.79%"
"2023- 08- 04","40.03","40.70","41.00","39.95","21.73K","-1.40%"
"2023- 08- 03","40.60","43.40","43.40","40.50","17.61K","-5.58%"
"2023- 08- 02","43.00","41.00","43.89","39.00","25.14K","4.02%"
"2023- 08- 01","41.34","44.46","44.46","40.15","13.65K","-4.04%"
"2023- 07- 31","43.08","47.50","48.26","43.08","16.90K","-9.40%"
"2023- 07- 28","47.55","38.00","49.38","38.00","77.54K","25.63%"
"2023- 07- 27","37.85","39.16","39.94","36.66","59.23K","-5.85%"
"2023- 07- 26","40.20","42.56","42.64","38.79","42.29K","-5.43%"
"2023- 07- 25","42.51","45.80","45.98","41.85","50.76K","-7.37%"
"2023- 07- 24","45.89","48.10","49.00","45.11","43.73K","-6.12%"
"2023- 07- 21","48.88","49.50","50.00","48.58","24.33K","-0.04%"
"2023- 07- 20","48.90","51.66","51.90","48.51","26.16K","-4.42%"
"2023- 07- 19","51.16","51.96","54.00","51.15","33.72K","-4.02%"
"2023- 07- 18","53.30","53.03","54.32","51.15","31.17K","1.31%"
"2023- 07- 17","52.61","56.93","56.93","52.02","46.24K","-6.65%"
"2023- 07- 14","56.36","56.29","59.70","55.61","18.21K","2.57%"
"2023- 07- 13","54.95","61.60","61.60","54.54","22.44K","-9.55%"
"2023- 07- 12","60.75","56.46","62.00","55.62","33.90K","11.06%"
"2023- 07- 11","54.70","56.43","58.50","53.00","20.62K","-3.03%"
"2023- 07- 10","56.41","56.50","59.45","53.85","31.87K","7.76%"
"2023- 07- 07","52.35","58.50","58.50","51.50","21.77K","-9.74%"
"2023- 07- 06","58.00","58.10","63.87","56.31","21.21K","-0.41%"
"2023- 07- 05","58.24","51.01","60.35","50.25","35.04K","13.37%"
"2023- 07- 03","51.37","55.50","56.49","51.37","15.33K","-8.58%"
"2023- 06- 30","56.19","54.84","56.63","53.34","11.04K","2.82%"
"2023- 06- 29","54.65","50.00","57.26","50.00","17.73K","9.96%"
"2023- 06- 28","49.70","52.79","55.00","48.01","21.98K","-7.36%"
"2023- 06- 27","53.65","56.28","56.28","53.50","9.98K","-3.04%"
"2023- 06- 26","55.33","56.82","58.15","55.33","7.74K","-2.59%"
"2023- 06- 23","56.80","56.49","59.60","54.50","14.40K","0.25%"
"2023- 06- 22","56.66","57.80","58.90","55.80","26.36K","0.30%"
"2023- 06- 21","56.49","56.45","57.50","53.66","12.23K","-2.00%"
"2023- 06- 20","57.64","60.50","60.50","56.83","13.46K","-5.68%"
"2023- 06- 16","61.11","62.90","64.52","60.04","19.90K","-5.69%"
"2023- 06- 15","64.80","57.00","65.41","55.92","37.15K","13.68%"
"2023- 06- 14","57.00","64.01","66.00","45.00","195.07K","-7.51%"
"2023- 06- 13","61.63","77.00","77.00","61.00","201.27K","-17.18%"
"2023- 06- 12","74.41","85.00","89.29","74.32","99.12K","-10.66%"
"2023- 06- 09","83.29","91.49","92.00","80.20","25.78K","-9.57%"
"2023- 06- 08","92.10","93.00","93.00","91.50","5.13K","-0.54%"
"2023- 06- 07","92.60","92.00","95.80","91.98","11.64K","2.67%"
"2023- 06- 06","90.19","89.20","91.67","85.52","12.35K","2.61%"
"2023- 06- 05","87.90","93.86","95.00","87.44","16.89K","-7.47%"
"2023- 06- 02","95.00","95.95","96.34","94.01","15.15K","0.42%"
"2023- 06- 01","94.60","101.02","101.02","92.77","12.66K","-2.99%"
"2023- 05- 31","97.52","99.59","100.59","96.11","10.68K","-1.10%"
"2023- 05- 30","98.60","102.38","102.38","98.00","13.04K","0.89%"
"2023- 05- 26","97.73","97.50","100.50","97.00","7.56K","0.75%"
"2023- 05- 25","97.00","97.32","98.09","97.00","1.63K","0.52%"
"2023- 05- 24","96.50","97.50","97.50","96.00","2.37K","-1.53%"
"2023- 05- 23","98.00","97.90","99.24","96.82","7.76K","0.02%"
"2023- 05- 22","97.98","96.30","100.48","95.68","2.93K","1.05%"
"2023- 05- 19","96.96","99.99","99.99","95.05","4.84K","-2.83%"
"2023- 05- 18","99.78","101.52","103.25","94.10","22.24K","-0.92%"
"2023- 05- 17","100.71","87.20","103.50","86.62","35.51K","17.45%"
"2023- 05- 16","85.75","83.10","91.20","80.00","67.04K","9.25%"
"2023- 05- 15","78.49","77.11","80.25","75.95","15.78K","1.94%"
"2023- 05- 12","77.00","84.56","84.56","76.40","23.99K","-8.17%"
"2023- 05- 11","83.85","86.26","86.26","82.95","14.08K","-1.58%"
"2023- 05- 10","85.20","87.00","88.90","84.39","21.34K","-0.47%"
